id,tags,priority
86c9n9a4t,versioning & history,high
86c9n9a5x,versioning & history,high
86c9n9a60,"versioning & history, checksum",high
86c9n9a6m,versioning & history,normal
86c9nc7t1,lifecycle & locking,normal
86c9n9a66,versioning & history,normal
86c9n9a55,draft management,normal
86c9n9a5e,publication,high
86c9wjvmf,versioning & history,low
86c9wjvmj,publication,high
86c9wjvmh,publication,high
86c9wjvmn,technical foundation,high
